rank,is_eligible,ineligible_reason,name,max_commission,max_mev_commission,validator_age,total_credits_M,identity
1,true,"","_lux8.net_",0,0,617,200.725532,"9gFxqsXbFyrKXUkqpAatonn47uYZ7sEZSnMxhzQoXrUJ"
2,true,"","Vault",0,0,617,200.725399,"Gf4rQifKzAHznUdtbFumy1MTwGX5ApgwnkxUUvEaEzWC"
3,true,"","Denys_Ivy_no_commision",0,0,617,200.725184,"451X5rboJpJtXK2gj4dLsXv8yCGfujqus2HsYjMkkSpE"
4,true,"","Casa_di_Stake",0,0,617,200.725116,"88K3vd8E7f2jXBwfNspzAYXKZuS7erF1w2wk3qcHTSfh"
5,true,"","ART3MIS.CLOUD_",0,0,617,200.7249,"GwHH8ciFhR8vejWCqmg8FWZUCNtubPY2esALvy5tBvji"
6,true,"","stake.systems",0,0,617,200.724796,"8ebFZA8NPLBZD91CwsG1HWQsa2B5Ludgdyf5Hi3sYhhs"
7,true,"","ZyzzChain",0,0,617,200.724757,"3ARtLeVB83RoGAwRot8dh74pc2uqbPi6JwbkwDzqk91m"
8,true,"","CoverletMEV_0_ALL_FEES",0,0,617,200.724406,"CVRr5oHCAAooVbYze7CvXtRp4FUtkMCSqBZU7MVu8v8e"
9,true,"","Grassets_Tech_-_JitoME",0,0,617,200.724219,"9FXD1NXrK6xFU8i4gLAgjj2iMEWTqJhSuQN8tQuDfm2e"
10,true,"","Baby_Yoda",0,0,617,200.72402,"J2obR2DK7gnd6H88HjKzEYuMyboDWRNpbzwmGSh31nnu"
11,true,"","SGTstake_-_0_Fee",0,0,617,200.72345,"CBUGET5PnvLc3HvEeFYj64iTvdKhYV6pujTPDdDh785K"
12,true,"","Stardust_Staking_-_0_f",0,0,617,200.723165,"Cu9Ls6dsTL6cxFHZdStHwVSh1uy2ynXz8qPJMS5FRq86"
13,true,"","your_operator_-_0_fee",0,0,617,200.703857,"CZ2xJQHwiojrAgrR2BUNheuWxXGjSVSZrkcxFcAGoSUH"
14,true,"","STEALTH",0,0,617,200.668434,"93Q99nhdKjuSe6WNXgMBbC3s8QVQEAoHKt91PNRkUkMn"
15,true,"","Ubik_Capital_-_0_Fee_M",0,0,617,200.554283,"4XspXDcJy3DWZsVdaXrt8pE1xhcLpXDKkhj9XyjmWWNy"
16,true,"","Code-Breader",0,0,617,200.528554,"DViARWAWKkxAzp4UCgbw5B9pLSrBY3PaztFErcwgVUKX"
17,true,"","Chainode_Tech_MEV0_Fee",0,0,617,200.52515,"3RXKQBRv7xKTQeNdLSPhCiD4QcUfxEQ12rtgUkMf5LnS"
18,true,"","Mad_Lads",0,0,617,200.516588,"CjmXSapt1ouz3CZzgkRJckBEwMSo5fVdVrizLeRscwYD"
19,true,"","4BLOCK_0_Fee_Jito_All_",0,0,617,200.509106,"4b1onMDEasBh4BuPekQWijx3BYR64hAE1z2jJyeZUkck"
20,true,"","Sarmina",0,0,617,200.426312,"CwhdMezLucz7bcuWzStpLXgrzKGC2tBBiaVmJZjfprRN"
21,true,"","NastiK",0,0,617,200.409929,"96XWbKem84optM8RLHhc8EYJQG8CCWA8F6oqWMPHDweN"
22,true,"","A_Unicorn_Julia",0,0,617,200.388153,"Hj2jzpAp57KyM3SmnYwJbDVrQ8tTWizMon2hhzYzwxet"
23,true,"","Legends",0,0,617,200.31604,"9bkyxgYxRrysC1ijd6iByp9idn112CnYTw243fdH2Uvr"
24,true,"","Haus_Guaranteed_Best_A",0,0,608,200.665613,"7y5VhV4fkz6r4zUmH2UiwPjLwXzPL1PcV28or5NWkWRL"
25,true,"","Solarius_0_fee",0,0,607,200.711262,"BuonuQoAR74GoMwCFhxKWVWWSGGt2wfbNmQ3cizaJ97G"
26,true,"","alex_s1",0,0,607,200.329344,"8fp2i8jhVcspsXUcHMQAnfQknT9nmuxFASdv6kV2FkwU"
27,true,"","PADDY_-_JITO-PALADIN",0,0,604,200.724064,"2uxEHizFmmnLekKG2LZJwxNabhpymEYfdVCpgDxjt87m"
28,true,"","Inky_Node",0,0,600,200.691452,"8j5kjKAufwdJH7GitGY18Qp12EhEQkVMc4PWZzGeH8Gw"
29,true,"","Hive_",0,0,600,200.627026,"HivE3V6suhr225ed5A8stYm5eLKf7TE5gYEkCVD2R6rC"
30,true,"","Solana_Ukraine_",0,0,594,199.401438,"FdH9QEQBxPQfaF2JpcjgdfcMnDb7rjZkCDRCWLRjTQwj"
31,true,"","nordstar_reliable_stak",0,0,592,200.723134,"NordEHiwa6wT5TCjdeWJzpsA7DSmWQPqfSS7m2b6cv3"
32,true,"","Astralium",0,0,586,200.725139,"4n2or6zoFFSJnzihG8NEHsqHQ7W39SVDs5gYeijc8u5d"
33,true,"","Spectrum_Staking_x𝟎",0,0,580,200.495747,"qZMH9GWnnBkx7aM1h98iKSv2Lz5N78nwNSocAxDQrbP"
34,true,"","Cogent_by_SOL_Strategi",0,0,577,200.40617,"Cogent51kHgGLHr7zpkpRjGYFXM57LgjHjDdqXd4ypdA"
35,true,"","Imperative",0,0,574,200.724509,"s2Meqg3YnYVZBLSAvXhLCttifWyppoPh3W6Meqz3J3v"
36,true,"","SolarTeam_0_Fee_MEV_Bo",0,0,570,200.593932,"CjtziaSBhv4E6RXmq3PQPsZn5KBg5WUR9XnhQ9PoLK5s"
37,true,"","Wave",0,0,559,200.724724,"By8MseMKtZQQaQjMHJiyetmc5AC8RZZv8C2ss33ktrHt"
38,true,"","EWR_0_Validator_No_com",0,0,557,200.526605,"FLVgaCPvSGFguumN9ao188izB4K4rxSWzkHneQMtkwQJ"
39,true,"","Flash",0,0,551,200.506966,"58KprHKFNHgH1Cvo4QwxWkDeJNaSQVteCoAAFUWjtESn"
40,true,"","Alpha",0,0,551,200.506925,"8uJiHDJ1b7UDQ4KFsQGJXK9nUCkokdKRJymg1Wy9nxvM"
41,true,"","Rocket",0,0,551,200.505226,"GmCxjmjKZoaKN1DKunbYq8RCYib94Nm3sHyncFfofaF5"
42,true,"","Pumpkins_Pool_",0,0,551,200.096471,"PUmpKiNnSVAZ3w4KaFX6jKSjXUNHFShGkXbERo54xjb"
43,true,"","Hamsa",0,0,550,200.509266,"CwyVpfmfSiMeCexi3JgUNvaiDfYN14cLDjzT99zcBuD2"
44,true,"","Quatro",0,0,550,200.504853,"FWwwP9tNttSy9dJFxwf6ebXWfc6VJXqFNMTccrMiLFTH"
45,true,"","Nansen_Stake_to_Accrue",0,0,535,200.560351,"CoG8d9Fp2TFJRkAmrPMiPsGhQWHzdTTVoegEp9svRgmJ"
46,true,"","Not_a_potato_MEV",0,0,534,200.722943,"84Za5eXvehQLZR6Xqhe9WT6tTcCHTVjw3XU7GCbBRNfW"
47,true,"","Vault_X_0_fee_MEV",0,0,534,200.105657,"4VrjyXQT61WFSjuG3ehgqZUK1jqvYqB46veQbXLotq3n"
48,true,"","Lion3d_0_Forever",0,0,527,200.725835,"CVvaeDPR2o7P1eawG5c9TPFLzSXAewwPovPmREaEL4Cm"
49,true,"","Stake-Take",0,0,525,200.560854,"9oJWvtDMLLM5U5hQ8iZ5LjbZLtHHzys91hvQC6esmsrJ"
50,true,"","Overclock",0,0,521,200.520006,"C1ocKDYMCm2ooWptMMnpd5VEB2Nx4UMJgRuYofysyzcA"
51,true,"","Public_Good_Chive_-_0_",0,0,511,200.718238,"57i31UEyDg4koaZMZ1wAHbYuezXv3AVaHtvJgJarxt3f"
52,true,"","Watatsumi_Validator",0,0,487,200.725674,"5ZjxMYBbnKd4VFxLjAChSWMTeQ96147HnxZvQJxUseHV"
53,true,"","voin_drak0na_0_FEE_MEV",0,0,485,200.72346,"8Zh5A5Hs6bJFAyWrLGMaF2VEUVbXFANtfuw7824Hd5XV"
54,true,"","Moovi",0,0,485,200.627304,"7ZSVbdE4gTWq7rh8d6a22LoMmSCHNB45aBtnHD5C5bUc"
55,true,"","L0vd_0_fee_MEV",0,0,482,200.624194,"8aySXUFrqJz5kath6aVijrkBH8ZtxMWJGhYXwYBpKmHK"
56,true,"","STAKING_STARS_",0,0,477,200.724999,"f8JPS1sKWo8ewAUu6sufkDRU1HRCqYfegExB9K6CPA2"
57,true,"","SOLPulse_0_fee_MEV_Top",0,0,473,200.682917,"24xpPUt82of7pcmy3qDvRQjCfaj7DaEiM3D4UDEYr3y4"
58,true,"","Temporal_Topaz",0,0,471,200.724305,"FugJZepeGfh1Ruunhep19JC4F3Hr2FL3oKUMezoK8ajp"
59,true,"","NO_NAME",0,0,464,200.582636,"7pR7t5axFfkg2VZB1uAuFNUvpAeowq2v15J4gw5MmHTB"
60,true,"","0_Fee_Theta",0,0,451,200.721426,"8AkVj5aAtJ27tYXeq89cnSf68V43NarFHMx2iSDjZv7c"
61,true,"","Yurbason",0,0,446,200.724964,"YuRBAsy9Stw1u46A8dMp7WQVBFweLP1PKuYibzYAMmQ"
